"countycode","areacode","village","neighbor","street、road、section","area","lane","alley","number","x_3826","y_3826"
"65000","65000010","中山里","024","合安一路","","","","２１號","295150.2416342917","2765826.3390277885"
"65000","65000010","中山里","024","合安一路","","","","２１號二樓之１","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號二樓之２","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號二樓之３","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號二樓之６","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號二樓","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號二樓之５","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號三樓","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號三樓之５","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號三樓之６","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號三樓之２","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號三樓之３","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號三樓之１","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號四樓之５","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號四樓之２","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號四樓之１","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號四樓之６","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號四樓","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號四樓之３","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號五樓之６","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號五樓之５","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號五樓","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號五樓之１","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號五樓之３","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號五樓之２","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號六樓之５","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號六樓之６","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號六樓","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號六樓之１","295161.8922","2765826.0881000003"
"65000","65000010","中山里","024","合安一路","","","","２１號六樓之３","295161.8922","2765826.0881000003"
